vendor,legal_name,entities,category,federal_tax_classification,tax_address_on_file,contacts,active,spend_all_time,spend_365d,ramp_vendor_uuids
The Vial Store,,FL|TN|TX,General Merchandise,,,2,yes,2415.55,2415.55,32e5bd38-0aa5-45a2-8e72-e6a464fa4927|a52ea6db-be95-4ceb-998e-8187b8dfec7a|18e0010b-e400-41bf-8f7d-294e7f3df80b
Fairfield Inn & Suites,,FL|TN,Lodging,,,0,yes,2302.05,2302.05,45513b05-ec5d-4943-8c32-972671b5fcb3|1878da7c-ed0f-4fb5-8c24-5c1f6c1a3cfc
BP,,FL|TN,Fuel and Gas,,,0,yes,2280.78,2280.78,1f140cf8-7e45-441f-9c9a-603237557615|d93b98d2-981a-4b2e-a827-2f9ae64a3de6
RaceTrac,,FL|TN,Fuel and Gas,,,0,yes,2214.24,2214.24,836b5a3a-5ac7-45bb-9866-00b5571fc6a8|72ec330c-f225-4861-aba9-64602f6c64e8
TXU Texas Electric,,TX,Utilities,,,1,yes,2153.80,2153.80,5845a7bb-48f9-48c6-a6e6-7a2c7e16b272
Ncourt Madhpl License,,TN,Government Services,,,0,yes,2124.60,2124.60,f9d00bb5-116e-4065-bee5-293d508a4ced
"Jams Wholesale, LLC",,TN,General Merchandise,,YES,1,yes,2124.57,2124.57,246dccd7-9bd9-4e60-80c3-381ca2c21d2d
Blaubrite Inc.,,FL|TN,General Merchandise,,,2,yes,2109.50,2109.50,e7bb93c8-7c8e-40dc-a007-50fd2055c7f5|1ea1b7e9-9562-45b2-8bc2-cf926ba47ba3
Consolidated Label Co LLC-ACH,,TX,Office supplies and cleaning,,,1,yes,2097.00,2097.00,d3c206a1-722a-4d6d-84b7-e1fa5e58585a
Microsoft,,FL,SaaS / Software,,,1,yes,2084.29,2084.29,e6db3abe-53e3-4bda-aa52-8c4a201d8098
MakingCosmetics Inc.,,TX,Other,,,0,yes,2043.78,2043.78,8b2ac7c4-2426-43dc-b9ea-ecae8470be51
MPS,,FL,General Merchandise,,,0,yes,2025.00,2025.00,5f56b34a-885b-4cee-958e-c1f44713fdc6
Garrett Brands,,TN,Supermarkets and Grocery Stores,,,0,yes,2017.16,2017.16,4f8ba4cb-4e14-4f00-adeb-8c3abad27ecf
Panera Bread,,FL|TN|TX,Restaurants,,,0,yes,2009.35,2009.35,0afd9426-fd8a-4684-ac03-8b9981059d5b|48b14307-9c03-404f-a68e-348c6646407a|41f5e736-8eae-4757-b6e8-1efe07eb7eaf
Epiphany Dermatology,,FL,Medical,,,0,yes,2000.00,2000.00,fafdd24f-4df0-4d2d-bfcb-6f18a785842e
Text Request,,FL,SaaS / Software,,,0,yes,1998.62,1998.62,51f99b89-18b2-4c5d-a920-efb3d2cb5d35
Thrifty,,FL|TN,Car Rental,,,0,yes,1986.28,1986.28,04d59f0c-fa38-4f6f-9e5a-dc6dd8a9bec7|0b7046a5-1dcc-4148-b08b-ba66d0f0ebbc
Frontier,,FL|TN,Airlines,,,1,yes,1971.26,1971.26,99a6bdbe-959f-42a2-b50d-e68e6c0c3b97|db5e7ef3-3da4-4fec-b8e2-a086d6ca32ed
U-Haul,,FL,Car Rental,,,0,yes,1968.85,1968.85,8ddb2239-960b-4108-832c-896a59876bfa
Hctra,,FL|TX,Travel Misc,,,0,yes,1913.22,1913.22,2a8692d5-19a9-49cc-8fa3-b3cdd038fce8|88c6dcc7-c10d-436e-9120-03b47ba1041e
"Medical Technology Associates, Inc",Medical Technology Associates LLC,FL,Medical,LLC_PARTNERSHIP,YES,1,yes,1901.38,1901.38,486bfdde-e5a5-4e3c-a271-22b2629ad21d
Olive Garden,,FL|TN,Restaurants,,,0,yes,1855.78,1855.78,7e9aaf09-1fbe-49e0-ae1f-a22129e82b11|e4e0e9e0-45fe-4e49-92f3-ef98b9d8b8f7
Dave & Buster's,,FL|TN,Restaurants,,,0,yes,1830.08,1830.08,b90eed83-767c-429b-899d-b2bbae7674af|aaf2a1d7-9589-4516-9f90-f2d67bc1907f
Articulate,,FL,SaaS / Software,,,0,yes,1749.00,1749.00,94c03743-2d07-4e7f-8d0f-13773681405d
NTTA,,FL,Travel Misc,,,0,yes,1728.78,1728.78,1e3379ae-9cc2-492e-93ae-7efdc3ee6baf
Rodizio Grill,,TN,Restaurants,,,0,yes,1679.47,1679.47,d0f79378-3946-4843-b757-4fecd37ab817
FREEDOMPARK,,FL|TN,Taxi and Rideshare,,,0,yes,1652.51,1652.51,8a3d8563-1b97-425d-a4a1-adf06ee82cf2|6e7890ed-ee40-4311-93cb-0dc27a2457b0
Kroger,,FL|TN,Supermarkets and Grocery Stores,,,0,yes,1612.06,1612.06,0d2187b4-ce04-41d8-b870-21a3f42b4f2f|5ab8bcf4-8d91-449c-b82b-415d96abcf7f
Lexium PLLC,,FL,Legal,,,0,yes,1608.11,1608.11,645e7257-a88b-4cbd-95ba-4123e9eaebbb
Hilton Garden Inn,,FL|TN|TX,Lodging,,,0,yes,1603.38,1603.38,c87eec33-3041-41fc-bdd3-36a40180c849|25b8c0d1-5a05-4655-9c49-843745f8f27c|6a430b5a-1cee-409c-be53-adaff0e6c9d8
Container and Packaging,,FL|TX,General Merchandise,,,2,yes,1565.96,1565.96,30c07507-9535-42a0-8e1b-ab2038bb70b4|2397d192-5214-4c18-a016-57bb584283fe
Chattanooga Gas Company,,TN,Utilities,,,1,yes,1521.64,1521.64,baef2075-67c0-4376-b2f5-ec5fcd6c1818
Lowe's,,FL|TX,General Merchandise,,,0,yes,1520.42,1520.42,2a0e6e05-ec7a-4de8-87cb-e7d58e0b30fc|669d0edf-7184-4968-846d-af2e4e935d6f
Fedex,,FL|TN|TX,Shipping,,,1,yes,1520.16,1520.16,54846d03-2b6b-4a17-8810-42cc8029354f|3208edfd-f188-420d-ab96-7d75b1cfb892|945c571e-d26e-4fd2-a3e4-275afccdf888
Avis Rent A Car,,FL|TN,Car Rental,,,0,yes,1491.20,1491.20,5c39c9b9-dbb4-4579-9ee1-9def0de65076|d1dcf729-2080-4225-a92a-6a4a504c2433
"BBM Services - Cleaning, Remodeling and Construction",,FL|TX,Office supplies and cleaning,,YES,4,yes,1461.38,1461.38,95a68959-7c6c-4ecb-b645-6ddcd330f7f5|a6a30b1b-917c-4545-9fa6-c3715197a461
Sheetz,,TN,Fuel and Gas,,,0,yes,1447.27,1447.27,f1b7ef72-acc5-4109-bd4a-ddd265248d40
Enterprise,,FL|TN|TX,Car Rental,,,0,yes,1447.12,1447.12,8406a621-05d8-495e-80b8-b90a738f914b|55151077-ad80-407f-97c9-7dac89b68db2|62c2645c-29f3-4e68-8946-431edbd712cc
Papa John's Pizza,,FL|TN,Restaurants,,,0,yes,1434.47,1434.47,eb582878-030f-49d0-9b85-ad944d596746|083613eb-0172-49ac-ba4b-1049605df5e9
Publix,,FL|TN,Supermarkets and Grocery Stores,,,0,yes,1428.22,1428.22,eb20f860-c414-4b91-b4e8-3eb62495223a|790e5072-1c77-4cf3-8ffa-8982f796469c
DMG,,FL,Advertising,,,1,yes,1423.37,1423.37,15dd3d4a-b55f-44b9-a9d9-57a2173e8eab
Target,,FL|TN|TX,General Merchandise,,,0,yes,1386.68,1386.68,2577cc53-53ea-4d2e-847c-77234f1dd2f9|669375d2-7485-40de-ba14-a1f3ed102400|5a109cf2-7f90-48bf-af10-97204398afc4
Vevor,,FL|TN,General Merchandise,,,0,yes,1382.92,1382.92,356ebc96-b1f3-408f-a757-f788b9fb6b61|1e70182c-06e9-4b91-a27f-949f0e24f553
"Modernizing Medicine, Inc.",,FL,SaaS / Software,,,1,yes,1380.00,1380.00,203e43ac-4e6e-4e82-ab74-06174b12977a
Jersey Mike's Subs,,FL|TN|TX,Restaurants,,,0,yes,1373.84,1373.84,4d00ee39-7e75-4fac-bd5e-4fc19e473c89|7e8cb534-45cf-42db-b418-5f61f430c9e3|10dad602-99e8-4fd2-b815-2b9684685986
SARAGLOVE.COM,,FL,General Merchandise,,,1,yes,1368.00,1368.00,ee93694a-b28f-4ee3-b252-82f36d7fb45a
Craft Kafe,,FL,Restaurants,,,0,yes,1328.10,1328.10,f2b43465-a6ed-4ddf-b5fe-cd1b11dd3242
Best Buy,,FL|TN|TX,Electronics,,,0,yes,1317.08,1317.08,a942feac-35bf-4e8b-925d-dc1cdbac7f53|519000e8-7ff0-4b0d-88ec-b91c52153bf8|86b2f6ba-29a5-4722-9d08-082e5c4f0358
Kalchem,,TX,Other,,,1,yes,1305.00,1305.00,d9621a6b-4a2e-4cc0-a8df-9823efc17c43
Furniture Solutions Now,,TX,Office supplies and cleaning,,,0,yes,1288.91,1288.91,f9d59692-3cbe-474f-9e40-bb1e7e37f2fe
USPS,,FL|TN,Shipping,,,0,yes,1286.54,1286.54,53a80a6d-4fe9-4e65-af15-fb6b0589210e|339f9e62-8f21-410a-be15-d1e8e6e4e046
Gate,,FL,Fuel and Gas,,,0,yes,1275.48,1275.48,413de8a5-8c48-46cd-ab97-e33d339c3995
Choice Hotels,,TN|TX,Lodging,,,0,yes,1272.98,1272.98,27726c21-e9d2-4fc0-a56f-37cdd3b4de35|8de1831b-91e5-4ac7-a73a-c9a6c72e6223
Chevron,,FL|TN|TX,Fuel and Gas,,,0,yes,1267.11,1267.11,03ec043f-c4ee-4c9a-9ed6-9e899ff3c2a3|c8140542-ba7c-409e-a882-0147880804f2|a3b0714e-2d32-447f-986a-3b3c90872566
Hotels.com,,FL,Lodging,,,0,yes,1256.24,1256.24,e3d3fcb4-026a-448d-a817-e49433f4e22e
Orkin,"ROLLINS, INC",FL,Professional Services,C_CORPORATION,YES,1,yes,1223.44,1223.44,040c1b6f-d7ab-4812-9d40-c3169b85a2e6
L & N Label Company,"L & N Label Company, Inc.",FL,Professional Services,S_CORPORATION,YES,1,yes,1208.33,1208.33,2bc7aa07-72fc-4ad6-9d58-6e6afea00c35
AirScan Tech,,FL,Other,,,1,yes,1200.00,1200.00,946246e6-4c53-4f96-9296-d24d68f24438
Skin Type Solutions,,FL|TN,General Merchandise,,,2,yes,1189.35,1189.35,68b54a8e-7898-4c6b-912c-577ee5dcbd5f|0e8a7bc9-131e-48af-a77f-f702bf0431d5
Residence Inn,,FL|TN,Lodging,,,0,yes,1155.49,1155.49,23c0b8a4-640a-43b7-bdcf-31872ceca478|ad232923-76e5-4165-9939-74814f2b830d
Laboratory Design & Supply,"424 Laboratories, LLC",FL,Other,LLC_C_CORPORATION,YES,1,yes,1119.81,1119.81,67862626-e7c2-4fad-a790-b85a2fbb95eb
Grainger Industrial Supply,,TX,General Merchandise,,,1,yes,1115.58,1115.58,f95488d9-4cae-4c8f-97fc-e5fcc8e82ccb
Tim Hortons,,TN,Restaurants,,,0,yes,1106.53,1106.53,c174f649-ecd6-48db-ae42-c1da70873eac
Hotwire,,FL|TN|TX,Travel Misc,,,0,yes,1104.81,1104.81,1c649faa-a2bd-43e8-9c5b-6d823f5102c7|b999bb55-5637-4c95-83b8-6f1fc63601f5|b79ae06d-7d12-49a9-9c1f-a0cafe0fdafb
"Fort Lauderdale, FL",,FL,General Merchandise,,,0,yes,1095.64,1095.64,ef2ae2bf-8f1a-493b-8fde-82404cffd74b
Trattoria Il Panino,,FL,Restaurants,,,0,yes,1081.20,1081.20,57c04e18-7bd8-4fad-b2df-92df123f7aee
VitalShred,,FL,Professional Services,,,1,yes,1064.05,1064.05,b0544d3e-f15f-4608-8667-1e45e2d43024
Coopers Hawk Tripleseat Restaurant,,TN,Restaurants,,,0,yes,1060.73,1060.73,7ec1955b-3788-4122-ba7c-74bf0510fba3
Doubletree By Hilton,,TN,Lodging,,,0,yes,1054.91,1054.91,c8248dd5-1136-4817-b884-6c07e64abd46
Rhode Island Dept of Labor,,TN,Taxes and tax preparation,,,1,yes,1047.73,1047.73,e8475d0f-d804-4db5-9bc6-1789a3d5a884
CAVA,,FL|TN|TX,Restaurants,,,0,yes,1043.65,1043.65,e0325ca0-6652-4703-a6a3-198c24746084|6ab3e3fd-6aae-4d48-968c-f4618eefc41c|3e0ab3ba-7488-4f89-ad97-7f46c0447a61
Angelitos Cafe,,FL,Restaurants,,,0,yes,1035.15,1035.15,57aae632-fe4d-4b0e-b0c3-0edbb4a138c6
Autodesk,,TN,SaaS / Software,,,0,yes,1021.46,1021.46,cd5be6be-b803-4d12-a184-57890c6677ed
Sheraton,,TN,Lodging,,,0,yes,1005.80,1005.80,169b7a76-24e3-494f-b072-e74785638cce
Chuy's,,TX,Restaurants,,,0,yes,971.18,971.18,03bb3927-1cba-4897-84d4-83fae40a4734
Wawa,,FL|TN,Fuel and Gas,,,0,yes,967.80,967.80,bc7373cf-61cf-4531-8216-2338eaf5c095|fd41ab22-78bb-454e-8e0f-c75ea5966194
Berlin Packaging,,FL|TN|TX,General Merchandise,,,3,yes,961.11,961.11,389aca2b-10df-44eb-b5a3-fd1fc2df2d38|e082ee3e-fde9-4dbb-aeae-4f3ca077a93c|71d1044a-9a8f-4315-95d3-4a297d5c9499
Higbee & Associates,,FL,Legal,,,0,yes,937.50,937.50,5d26c9d3-6e91-4afb-8a6e-b904462e3f44
Tropical Smoothie Cafe,,FL|TN|TX,Restaurants,,,0,yes,936.25,936.25,4bbba8f0-a0ad-42e7-a35b-2fac77a44f15|f374bd9d-2587-4f44-a864-fb5f8535908b|5e9895bf-0e50-43b8-8916-f6b76cfd6bdf
Ett,,TN,Parking,,,0,yes,931.50,931.50,fe4eff10-ba4b-47d4-89a3-1c5ca6e8f839
"Wellgistics, LLC",,FL|TN,Supermarkets and Grocery Stores,,,1,yes,923.68,923.68,161a995d-2012-406c-8a58-4d1934ea497f|705fe3ef-9b8f-4bba-8ea7-c0e23408ae66
Staples,,FL|TN,Office supplies and cleaning,,,0,yes,918.16,918.16,1b2a8bed-033d-4521-94fe-d2577c3bcea2|06c18aba-347c-4546-8171-6ece71fed329
Microsoft Office / Azure,,FL,SaaS / Software,,,0,yes,911.40,911.40,8966b457-28f8-43e0-91d9-7db162bf1ea1
Labconco Corporation,,TX,General Merchandise,,,0,yes,906.71,906.71,3402b5a8-27dd-4cf6-8655-1efda8802239
Comcast,,TN,Utilities,,,0,yes,902.40,902.40,5936b674-0bfe-4699-ac03-deceb805bf35
Airbnb,,FL|TN,Lodging,,,0,yes,900.98,900.98,6a3955b7-3659-4fa4-aa5c-485e2afe60d0|00cd8c84-b74a-4958-8411-8b1610352a7b
"Houston, TX",,FL,Fuel and Gas,,,0,yes,898.90,898.90,161cfb7b-61cd-4c91-92ff-aa976cd4836b
Caribe Royale Orlando,,TN,Lodging,,,0,yes,891.03,891.03,1dfb534c-0277-462d-9257-3324c87b077d
Lyft,,FL|TN,Taxi and Rideshare,,,0,yes,883.74,883.74,c2b1da2a-5f78-49a3-811f-35e84c5b18d9|c839d402-aefb-4559-a6ce-bb228205041a
Zaxby's,,TN,Restaurants,,,0,yes,869.34,869.34,254fc7a7-b02d-4bd3-ac85-c5297f37841a
Domino's Pizza,,TN,Restaurants,,,0,yes,860.01,860.01,2562777e-fb88-4388-84f9-510fd3c139b1
ACE Rent A Car,,TN|TX,Car Rental,,,0,yes,858.44,858.44,65a4203d-eba2-469c-b8d5-b3e3d71f4878|412ed880-ab81-45c6-9e68-fec9504b7da6
BUC-EE'S,,FL|TN|TX,Fuel and Gas,,,0,yes,847.82,847.82,3e2b9d00-0656-48d2-a8a3-db6b99b59ab1|ba63ff63-e107-483c-b26e-5b51b7dde227|d5f355c1-add4-4d73-8e51-c4807ea50f08
The Printer Depo,,FL,SaaS / Software,,,0,yes,846.35,846.35,9f33c00b-b097-4f86-b880-1cc79e8f3818
Grand Hotel,,FL|TN|TX,Lodging,,,0,yes,845.06,845.06,e6904350-89c5-4935-9e8b-6a543a95683c|2c317ca2-8111-44dc-b4cf-e5d225cd6bd2|f7dddc0c-47e6-40e2-ba08-2b3d8c89920d
Origin Hotel,,TN,Lodging,,,0,yes,838.94,838.94,4b5dd489-4da5-4a89-a3f8-f6cdeecbfa70
Jason's Deli,,FL,Restaurants,,,0,yes,831.80,831.80,ac209cb0-4478-455f-8745-fce57a639f05
Dollar Rent A Car,,FL|TN,Car Rental,,,0,yes,817.44,817.44,843b0b99-3894-4a86-b571-87ad4832899c|4fa8b2c4-3d8d-46a9-9c2f-427dc14ec8cc
Roth Staffing,,FL,Professional Services,,,0,yes,811.88,811.88,b8285fa7-fc55-46bf-8147-75b6a6f83456
Roto-Rooter Services Company,,FL,Professional Services,,,1,yes,800.00,800.00,7a0c532a-f270-4bf8-ba9e-79fbb5b05f20
Pioneer RX - AutoPay,,FL,SaaS / Software,,,1,yes,800.00,800.00,7393db13-204c-4e05-a21a-79f5164e9df7
National Apothecary Solutions,,FL,Other,,,1,yes,793.50,793.50,f559d409-bdd0-4a05-8d2b-6cb9debe7902
Westchase Pizza & Pasta,,FL,Restaurants,,,0,yes,789.61,789.61,483d6160-8b25-4eb8-a0cf-e2ad5f73f8f5
Pita Way,,TN,Restaurants,,,0,yes,783.51,783.51,43706a1e-a4ea-48b9-bcc8-93fd800f7402
Booking.com,,FL|TN,Travel Misc,,,0,yes,781.39,781.39,b4eddb50-1d3f-47d8-9ec6-f70d31809c63|1414a703-8106-4a51-a3a6-76bcc7a9401a
Holiday Inn,,FL|TN,Lodging,,,0,yes,766.19,766.19,e55858d5-4554-4c8d-ab4c-cf7de9281574|64b117f4-7102-43a0-8060-c631e243f73e
HHCRX WholeSaler,,FL,General Merchandise,,,1,yes,762.49,762.49,5ea8ac82-438f-41c5-b9cf-6f96b5f48679
Maryland Board of Pharmacy,,TN,Government Services,,,0,yes,761.00,761.00,eb9fd85f-b227-4e0b-bad4-4170d279dcbe
la Madeleine,,FL|TX,Restaurants,,,0,yes,755.41,755.41,a3783625-1dd2-4730-966e-04a9e94ee8b5|dcb54997-e11f-48b3-9e17-1b15fcc6080b
Expedia TAAP,,TN,Travel Misc,,,0,yes,753.47,753.47,a16a33f5-df30-48c3-afc7-662956312fd8
Easirent.Com Orlando,,FL,Car Rental,,,0,yes,752.82,752.82,a1767c91-c23c-4f67-a365-c57d758f0354
Alamo,,FL,Car Rental,,,0,yes,750.95,750.95,7f41d5bb-0fc2-41cd-bf04-91ce4e21dffe
Adobe,,FL,SaaS / Software,,,0,yes,746.67,746.67,3ebcbd9d-5e80-4632-959f-b867c603e14d
Red Robin,,TN,Restaurants,,,0,yes,736.07,736.07,97334300-bc61-40ac-89ac-10a234f88061
Gulf Oil,,TN,Fuel and Gas,,,0,yes,735.89,735.89,9aa5fc27-039e-41e7-a120-1ce1dbca5252
American Fire Systems,,FL,General Merchandise,,,0,yes,732.95,732.95,e2afce2f-4474-4420-ab84-d98db467ba75
Cristina's Fine Mexican Restaurant,,TX,Restaurants,,,0,yes,728.13,728.13,b0eabd2b-9194-435e-99fe-2422d8e9cbb3
"1st Response Facility Svcs, LLC",,FL,Other,,,1,yes,693.87,693.87,d5f7d690-db19-4381-af41-4672f2b937f9
Lady Baker,,FL,Supermarkets and Grocery Stores,,,0,yes,690.96,690.96,429455a1-1ba6-4714-a612-c650a4d9c679
Dunkin' Donuts,,FL|TN|TX,Restaurants,,,0,yes,690.28,690.28,dab87843-de97-4a00-8c0e-6f56d70b2f04|cf4230ae-713d-401b-b444-af734f6f2690|591a7676-284a-4566-a39d-139730e46741
Outback Steakhouse,,TN,Restaurants,,,0,yes,682.11,682.11,9ad0e409-a7e0-4c67-bc97-742bab76cdc7
HALO Branded Solutions,,TX,Advertising,,,0,yes,678.45,678.45,e7e923c0-8c55-4396-b94c-c6528f86e51f
"Matrix Distributors, Inc. ACH",,FL|TN,General Merchandise,,YES,1,yes,675.40,675.40,bcd58681-8623-47af-86a6-0a9b509ef55e|2f9c834d-9c72-446b-adb5-42c39ff05156
Axia Medical Solutions,,TX,General Merchandise,,,0,yes,674.93,674.93,69fcaa2c-c561-4ff4-91af-799f7998ca99
Department of Regulatory Agencies,,TX,Government Services,,,0,yes,674.00,674.00,effa0fbf-940b-4565-8c91-2b005f44efcd
QualCal Scale Services LLC,,FL,Other,,,1,yes,663.57,663.57,e462103e-746d-496d-b1f9-2dcfeb9d83b3
CRISP & GREEN,,FL,Restaurants,,,0,yes,658.95,658.95,91e8700b-5803-48c5-859d-666b8621c34d
Mobil@ 2935,,FL,Fuel and Gas,,,0,yes,645.00,645.00,d12427b3-a51a-4c51-a1a0-a95fd893b5ac
"PreciseCal Services, Inc.",,FL,Professional Services,,,1,yes,644.60,644.60,8a256adf-fd2a-43e5-822c-f05f1950fd00
Nachomama's,,TN,Restaurants,,,0,yes,644.00,644.00,0aeb448f-261a-48a5-a0a0-e7f2b1830646
Four Points by Sheraton,,FL,Lodging,,,0,yes,642.00,642.00,f8ca1e39-87ed-4e3c-9ec3-8955b9d509e1
Crumbl Cookies,,FL|TN,Supermarkets and Grocery Stores,,,0,yes,638.39,638.39,599d88a4-911c-42a5-9270-74c5ae424ee4|a8a35267-0616-4c19-9240-177c142526c0
Renaissance Hotels,,FL|TN,Lodging,,,0,yes,638.31,638.31,f7bfea0f-7ff4-4e89-a487-52980cad9560|d15236f2-3d8c-49fd-bfc6-f50657d1dbf9
Quality Inn,,TN,Lodging,,,0,yes,635.21,635.21,a4a05664-3cbc-4dd3-8e73-88629d5bc722
Stamps.com,,FL,Shipping,,,0,yes,612.62,612.62,2c431f7d-90b0-42f0-913b-31003c7076cc
L&N Label,"L & N Label Company, Inc.",TN,Professional Services,S_CORPORATION,YES,1,yes,606.02,606.02,5f1a2861-0f5c-4cfd-988b-aba890735268
Luna Grill,,FL,Restaurants,,,0,yes,600.88,600.88,a3482c1e-8a7a-453e-8626-ab60c26a5f47
Raising Cane's Chicken Fingers,,FL|TN,Restaurants,,,0,yes,598.44,598.44,d654a01a-30ff-4d9d-a0da-ec6039e90b40|65812cb1-29fd-40d2-a413-d8978ffcb789
Wolfmoon,,FL,Restaurants,,,0,yes,597.11,597.11,0c54e4e5-4fdb-4f67-8b12-b840049cddba
Medicaleshop,,FL|TN,General Merchandise,,,0,yes,595.09,595.09,8599d180-62a5-4514-bc84-bae45b40edde|30b8a98c-f7f1-4ee7-9b34-2e0f35f00fa3
Firebirds Wood Fired Grill,,FL|TN,Restaurants,,,0,yes,592.84,592.84,144aca14-369f-4143-8493-d017ea503d9d|4044b107-c8e2-4fda-ac53-aa0422360340
Mochinut,,TN,Restaurants,,,0,yes,570.66,570.66,f9005517-28bd-4d8e-97a1-1d1919e37e3d
Empire Rx,Empire Rx,FL,Medical,LLC_S_CORPORATION,YES,1,yes,565.45,565.45,246e3f6d-1a33-40c9-974a-8083e22c78a3
City of Chattanooga Wastewater Dept,,FL|TN,Utilities,,YES,3,yes,543.03,543.03,a1ad4651-3ebb-47f1-9836-9aa9dc5baf0e|e8764be9-ab24-4d5a-8651-44bb2f0a28c2
Jimmy John's,,FL|TN,Restaurants,,,0,yes,541.82,541.82,54a51385-39e1-4439-a22d-ac53ae496ecf|1dd2735d-1168-4648-b4dc-03efc9e85273
Flash Party Photo Booth,,FL,Other,,,0,yes,541.25,541.25,53a45c2c-0d98-460c-995f-d0afa57d865d
Groome Transportation,,FL|TN,Travel Misc,,,0,yes,535.00,535.00,ee52c38b-7dfd-4b0b-b159-6b58d7d97b07|cde99477-f36e-4f30-9132-c6b771bf48b8
Flower Child,,TN|TX,Restaurants,,,0,yes,532.17,532.17,08dc6675-8bec-4584-a30f-ccdd0ce145f5|11ee6e38-8220-4fe6-ad6e-3a1a4d76595f
Hotel Sylva,,TN,Lodging,,,0,yes,529.54,529.54,f975e5af-8602-477f-97ed-ce9adf03dd7d
Oak Drugs,,TX,General Merchandise,,,1,yes,526.85,526.85,ea7d674d-a1d8-4df7-b69e-2f7cccb45eed
Vercel,,TN,SaaS / Software,,,0,yes,526.09,526.09,a4bfeb22-3ed2-4fa4-a276-258a7549b718
Alpha Lit (1 Of 1 Pa,,FL,Professional Services,,,0,yes,518.52,518.52,32ccfd70-d694-4df4-b6d5-bb60701a5d99
La Segunda Central Bakery,,FL,Supermarkets and Grocery Stores,,,0,yes,518.35,518.35,a101001b-7be8-4225-ab65-5e8d13c8b153
Pharmacy Technician Certification Board,,TN,Education,,,0,yes,516.00,516.00,fc8b2f64-b15e-408e-954e-e534f080faa0
Pappadeaux Seafood Kitchen,,FL|TN|TX,Restaurants,,,0,yes,515.57,515.57,99fa7969-0527-4824-a530-387360ea2ad2|7b47caf3-5aca-4d87-88ad-b9b0c5ce0bbe|b07061cf-7fc2-4c1c-bcae-a4fa6a6b9b3e
Walgreens,,FL|TN,Supermarkets and Grocery Stores,,,1,yes,514.69,514.69,4decc8d9-2332-4bdf-b66a-268da91182f0|1b9d4a66-dede-4c79-8ae0-e4a3de122de7
Florida Department of Health,,FL|TN,Government Services,,,0,yes,510.78,510.78,f82dd08a-b03b-4aa6-86c1-712fe5214642|6e0719f1-0c62-445c-8d31-92c3b8421865
Murphy USA,,FL|TN|TX,Fuel and Gas,,,0,yes,508.59,508.59,8b3a87dc-0c5a-4636-9d0c-f83577d59b9c|8c25aea3-d7dd-4a79-a8bb-381a7bbab8ed|cbd75475-a39d-4a36-a993-a12cc312c860
Origin Hotel Red Rocks,,TN,Lodging,,,0,yes,503.78,503.78,c9666401-63e0-4f2f-a51b-558aebcd93ef
H-E-B,,FL|TX,Supermarkets and Grocery Stores,,,0,yes,501.26,501.26,dbd78742-4aef-42e8-a677-0ce25bda0643|732888df-b2c6-4540-8461-b45ec443bea4
Gather Beverage Company,,FL,Supermarkets and Grocery Stores,,,0,yes,500.00,500.00,4b1e33d8-5789-43e9-a013-6e05dcb6a746
Melanoma Research Foundation,,FL,Charitable donations,,,0,yes,500.00,500.00,3287b728-ca55-4296-b7fc-f32fddf8b35d
National Car Rental,,TN,Car Rental,,,0,yes,496.64,496.64,c1617b21-df0c-43fe-8071-7f6a06933c9b
Whole Foods Market,,FL|TN,Supermarkets and Grocery Stores,,,0,yes,494.09,494.09,c6e20893-23f1-4d7e-ba85-9f47f007e947|a9495f69-782c-42ec-b1c2-26e8e2535f6e
Corporate Filings Llc,,FL|TN,Professional Services,,,1,yes,493.00,493.00,d2e6497b-bbdc-4b9d-86bc-6554bbe1226f|b7901afa-31c8-4003-baf7-65df7276deb1
AR Workshop,,FL,General Merchandise,,,0,yes,490.00,490.00,ef6517c2-efc9-436a-98d9-f082940619a7
Thirsty Lion Gastropub and Grill,,FL|TN,Restaurants,,,0,yes,489.20,489.20,d3586fec-525b-41d4-9a86-9c54e4e70f32|b66bb886-f3bc-4a6e-9111-28a443f6507a
Republic Social House,,TN,Restaurants,,,0,yes,488.73,488.73,437ac03b-1a54-4277-bfbf-36c3bea8300e
Lupe Tortilla Mexican Restaurant,,FL,Restaurants,,,0,yes,487.64,487.64,a75f1703-5d46-4567-9f06-650b394e7f5c
Trader Joe's,,FL|TN,Supermarkets and Grocery Stores,,,0,yes,486.98,486.98,32936bc4-edb1-4bac-b570-b123af46aea3|4e5160a8-73a6-4568-88a8-2abb686b86b8
Maria's Cleaning Service,Maria A Torres,FL,Office supplies and cleaning,INDIVIDUAL_SOLE_PROPRIETOR_SINGLE_MEMBER_LLC,YES,1,yes,485.00,485.00,63cb96a0-d4dd-4bc5-b1b8-d1059dbc565c
Love's Travel Stop,,FL|TN|TX,Fuel and Gas,,,0,yes,481.95,481.95,82a60a60-1f09-4c1c-a8b8-e72ebede46e6|52324206-d40c-40eb-9193-d4e8d138444b|2892af5e-a400-491e-acea-aa50cba54671
CSI,,FL,Professional Services,,,1,yes,477.95,477.95,d55ab933-1cf0-45e3-8ecd-f97d97e91513
Northstar Cafe,,TN,Restaurants,,,0,yes,476.53,476.53,bab98a16-5308-42f2-9f1e-991c4e917f54
Kingdom Handy,,FL,Professional Services,,,1,yes,475.00,475.00,161ea88a-fda8-42a2-b6a3-740bdf033e14
